1,45:44.268N,7:22.188E,540M,AT,Aosta, Dir: 85/265 Dim: 1200/50
2,45:29.712N,8:06.228E,270M,AT,Biella Cerrione, Dir: 157/337 Dim: 1400/30
3,46:09.210N,9:47.820E,270M,AT,Caiolo, Dir: 85/265 Dim: 800/35
4,45:48.582N,8:46.164E,234M,AT,Calcinate, Dir: 105/285 Dim: 600/20
5,46:30.702N,8:41.334E,989M,AT,Ambri, Dir: 103/283 Dim: 1800/30
6,46:13.296N,7:19.728E,480M,AT,Sion, Dir: 73/253 Dim: 1800/30
7,46:01.500N,11:07.290E,183M,AT,Trento, Dir: 180/360 Dim: 1000/20
8,46:28.752N,8:15.870E,1330M,AT,Ulrichen, Dir: 47/227 Dim: 800/30
9,46:37.206N,10:47.922E,673M,AT,FC Silandro, Dir: 90/270 Dim: 600/20
10,46:00.060N,8:54.642E,275M,AT,Lugano, Dir: 18/198 Dim: 1400/30
11,45:43.248N,9:35.622E,220M,AT,Valbrembo, Dir: 23/203 Dim: 1000/30
12,45:42.858N,8:42.084E,263M,AT,Vergiate, Dir: 158/338 Dim: 1000/30
13,46:32.058N,9:53.034E,1700M,AT,Samedan, Dir: 27/207 Dim: 1600/40
14,45:40.284N,9:42.360E,240M,AT,Bergamo Orio, Dir: 104/284 Dim: 2400/50
15,45:46.140N,9:09.726E,384M,AT,Alzate, Dir: 23/203 Dim: 600/30
16,46:27.594N,11:19.956E,241M,AT,Bolzano, Dir: 9/189 Dim: 1400/30
17,45:38.190N,8:44.490E,222M,AT,Malpensa, Dir: 170/350 Dim: 3200/40
18,45:26.844N,9:16.926E,103M,AT,Linate, Dir: 175/355 Dim: 1500/30
19,46:49.998N,6:52.566E,100M,AT,Blu56, Dir: 0/180 Dim: 0/0
20,46:09.492N,8:52.668E,197M,AT,Locarno, Dir: 80/260 Dim: 600/30
21,45:11.874N,7:39.306E,290M,AT,Torino, Dir: 2/182 Dim: 2400/30
22,45:45.786N,9:26.682E,194M,AT,Kong, Dir: 0/180 Dim: 600/20
23,46:17.598N,8:59.556E,258M,AT,Lodrino, Dir: 160/340 Dim: 800/30
24,46:18.360N,7:43.032E,625M,AT,Turtmann, Dir: 81/261 Dim: 2000/30
25,45:42.360N,11:23.370E,164M,AT,Schio, Dir: 170/350 Dim: 1000/50
26,46:40.692N,7:53.190E,573M,AT,Interlaken, Dir: 45/225 Dim: 1000/30
27,46:44.562N,8:06.696E,573M,AT,Hasilberg, Dir: 95/275 Dim: 1800/30
28,46:31.333N,8:36.500E,1237M,T,AIROLO,
29,45:25.000N,8:57.100E,119M,T,ALBAIRATE UL,
30,45:48.167N,9:11.417E,429M,T,ALBAVILLA,
31,45:49.300N,9:11.233E,858M,T,ALPEVIC,
32,45:48.100N,9:41.000E,585M,T,AMBRIA UL,
33,45:31.366N,7:52.331E,580M,T,ANDRATE,
34,45:21.600N,11:17.666E,28M,T,ARCOLE UL,
35,45:16.850N,9:07.100E,88M,T,ARES UL,
36,45:51.250N,10:08.750E,201M,T,ARTOGNE,
37,45:27.666N,9:34.583E,102M,T,ARZAGO UL,
38,45:33.266N,9:30.166E,146M,T,BAIALUPO UL,
39,45:17.400N,7:30.316E,614M,T,BALANGER,
40,46:00.533N,11:19.933E,428M,T,BARCO UL,
41,46:21.100N,8:57.100E,433M,T,BIASCA,
42,45:39.667N,8:05.450E,1451M,T,BIELMON,
43,45:50.265N,9:33.630E,1040M,T,BLELLO,
44,45:23.266N,10:08.183E,67M,T,BLUE DEVIL UL,
45,46:06.100N,10:45.000E,878M,T,BOCENAGO AVI1351,
46,45:42.433N,8:35.500E,220M,T,BORGO TICINO UL,
47,46:27.466N,10:21.516E,1166M,T,BORMIO SUD UL,
48,45:58.166N,10:18.750E,292M,T,BRENO NORD UL,
49,45:25.750N,10:19.833E,105M,T,BRESCIA MONTICHI,
50,45:49.500N,9:06.917E,970M,T,BRUNATE,
51,45:17.100N,7:39.100E,331M,T,BUSANO ERFICIE,
52,45:35.100N,11:23.466E,140M,T,C CASTELGOMBERTO,
53,45:31.916N,8:12.833E,201M,T,C MEMPHIS BELLE,
54,45:27.800N,10:21.000E,128M,T,CALCINATO,
55,45:19.666N,10:22.783E,59M,T,CALVISANO,
56,45:31.866N,8:39.916E,173M,T,CAMERI MIL,
57,46:13.617N,9:38.117E,906M,T,CAMPING MASINO,
58,45:47.367N,9:19.200E,263M,T,CAMPMOOGGIONO,
59,45:51.800N,8:46.833E,1053M,T,CAMPODF,
60,45:28.100N,9:38.750E,97M,T,CARAVAGGIO UL,
61,46:13.217N,9:54.800E,1952M,T,CARNALE,
62,45:21.166N,7:54.500E,227M,T,CARRONE,
63,45:30.900N,10:27.966E,196M,T,CARZAGO,
64,45:29.433N,8:31.516E,166M,T,CASALEGGIO,
65,45:42.416N,8:37.133E,228M,T,CASCINA LANDEFEL,
66,45:31.916N,8:53.983E,168M,T,CASORE AIR FOLIE,
67,45:21.133N,7:43.383E,305M,T,CASTELLAMONTE AV,
68,46:25.666N,10:21.716E,1323M,T,CEPINA VALTELLIN,
69,45:15.883N,10:35.016E,42M,T,CERESARA,
70,45:33.200N,8:09.666E,247M,T,CERRETO CASTELLO,
71,45:50.700N,7:37.466E,2019M,T,CHAMOI ALTIPORT?,
72,45:36.533N,9:26.000E,196M,T,CIELO BLU,
73,45:26.966N,8:59.916E,123M,T,CISLIANO UL,
74,45:53.233N,9:57.933E,646M,T,CLUSONE1 ELI,
75,45:53.016N,9:59.383E,658M,T,CLUSONE2 CD ROVE,
76,46:09.800N,9:25.300E,199M,T,COLICO PIANA UL,
77,45:48.883N,9:04.166E,198M,T,COMO CLOSED,
78,45:35.283N,10:45.383E,213M,T,COSTERMANO UL,
79,45:22.067N,9:41.450E,74M,T,CREMA,
80,45:09.450N,10:00.883E,44M,T,CREMONA,
81,45:10.050N,10:00.116E,44M,T,CREMONA MIGLIARO,
82,45:21.666N,9:34.333E,71M,T,CRESPIATICA UL,
83,46:12.967N,8:19.300E,518M,T,CRODO,
84,45:23.417N,7:39.000E,409M,T,CUORGNE,
85,45:53.933N,8:43.366E,274M,T,CUVIO UL,
86,45:43.333N,8:34.516E,245M,T,DORMELLETTO UL,
87,46:08.667N,9:27.100E,200M,T,DUBINO,
88,46:08.916N,9:26.100E,201M,T,DUBINO,
89,46:10.500N,10:19.900E,661M,T,EDOLO,
90,45:48.400N,9:59.317E,943M,T,ENDINE,
91,45:40.166N,9:03.516E,247M,T,FATTORIA PIOLANT,
92,46:02.500N,9:44.767E,1525M,T,FOPPOLO,
93,45:52.383N,8:44.233E,1103M,T,FORTEO,
94,46:36.850N,10:21.716E,1620M,T,FULDERA,
95,45:48.200N,9:54.300E,618M,T,GANDINO,
96,45:36.416N,8:19.950E,284M,T,GATTINARA,
97,45:35.183N,10:26.167E,197M,T,GAVARDO,
98,45:26.150N,10:16.216E,98M,T,GHEDI MIL,
99,45:17.533N,11:01.566E,26M,T,ISOLA DELLA SCAL,
100,45:29.166N,7:51.800E,248M,T,IVREA MONTAL DOR,
101,45:09.616N,10:18.550E,31M,T,L CIDELLARA UL,
102,46:35.966N,11:11.100E,255M,T,LANA MERAN UL,
103,45:54.667N,8:38.217E,878M,T,LAVENO,
104,45:54.000N,8:38.100E,207M,T,LAVENO MONBELLO,
105,46:07.700N,11:05.800E,210M,T,LAVIS,
106,45:51.017N,9:23.317E,198M,T,LECCO,
107,45:50.900N,9:23.300E,198M,T,LECCO PONTE NUEV,
108,45:08.000N,11:17.533E,6M,T,LEGNAGO,
109,45:17.483N,8:48.100E,107M,T,LEONARDO VIGEVAN,
110,46:32.616N,10:08.583E,1811M,T,LIVIGNO1,
111,46:32.016N,10:08.166E,1820M,T,LIVIGNO2,
112,45:49.167N,10:04.583E,218M,T,LOVERE,
113,45:49.416N,10:05.333E,187M,T,LOVERE UL,
114,45:18.533N,11:17.000E,20M,T,MACCHINE VOLANTI,
115,45:58.200N,7:58.350E,1390M,T,MACUGNAG,
116,45:33.067N,10:16.483E,509M,T,MADDALENA,
117,46:20.100N,10:54.917E,1137M,T,MALE,
118,46:20.100N,10:54.166E,747M,T,MALE1,
119,46:21.333N,10:54.916E,742M,T,MALE2 UL,
120,46:06.766N,10:19.066E,494M,T,MALONNO,
121,46:08.383N,8:18.717E,296M,T,MASERA,
122,46:08.383N,8:18.716E,296M,T,MASERA AVIOSUPER,
123,46:11.917N,9:38.833E,1601M,T,MASINOVA,
124,45:16.166N,7:57.116E,232M,T,MAZZE PRATI UL,
125,45:20.366N,10:29.100E,59M,T,MEDOLE CASTELLGO,
126,46:39.100N,11:08.100E,556M,T,MERANO HIPPDROMO,
127,45:36.350N,8:35.183E,227M,T,MEZZOMERICO UL,
128,45:32.483N,9:12.133E,144M,T,MILANO BRESSO,
129,45:44.183N,9:48.683E,887M,T,MISMA,
130,45:42.000N,9:19.100E,329M,T,MISSAGLIA,
131,45:19.416N,8:00.050E,263M,T,MONCRIVELLO,
132,45:20.833N,7:55.283E,228M,T,MONCUCCO UL,
133,45:31.400N,8:00.100E,379M,T,MONGRANDO UL,
134,45:15.333N,7:51.450E,233M,T,MONTANARO AIRONE,
135,45:28.583N,11:23.416E,56M,T,MONTECCHIO,
136,45:47.350N,9:08.583E,506M,T,MONTORFANO,
137,45:17.666N,10:54.500E,33M,T,NOGAROLE UL,
138,45:31.166N,10:22.600E,163M,T,NUVOLERA,
139,45:31.383N,10:31.566E,126M,T,PADENGHE,
140,46:31.100N,11:06.500E,1447M,T,PALADEP,
141,45:59.100N,11:18.100E,532M,T,PECORE NERE UL,
142,46:18.583N,10:46.016E,916M,T,PELLIZZANO,
143,46:17.333N,10:31.500E,1709M,T,PEZZO,
144,45:54.833N,10:12.800E,233M,T,PIANCOGNO UL,
145,45:47.783N,9:19.183E,262M,T,PONCIA OGGIONO,
146,46:03.167N,9:04.767E,1344M,T,PORLEZZA,
147,46:01.883N,9:07.650E,274M,T,PORLEZZA1,
148,46:02.200N,9:08.750E,292M,T,PORLEZZA2,
149,45:07.466N,7:31.316E,333M,T,PREALPI ERFICIE,
150,45:41.583N,10:01.767E,818M,T,PREDORE,
151,45:55.533N,10:05.100E,1358M,T,PRESOLANAP,
152,45:45.900N,8:16.050E,407M,T,QUARONA,
153,46:14.000N,11:03.000E,356M,T,ROCHETTA CLES UL,
154,46:08.550N,9:28.700E,206M,T,ROGOLO,
155,45:46.033N,9:33.633E,866M,T,RONCOLA,
156,45:21.383N,9:00.566E,105M,T,ROSANGELES UL,
157,45:53.200N,9:59.216E,637M,T,ROVELLO ELI,
158,45:53.200N,8:54.300E,590M,T,SANGIORGIO,
159,45:28.100N,9:57.383E,103M,T,S LUCIA CHIARI,
160,45:13.200N,9:57.100E,49M,T,S MARTINO BELISE,
161,46:14.166N,9:25.866E,197M,T,SAMOLACO AVLU,
162,45:19.183N,10:42.616E,47M,T,SCALIGERO VALEGG,
163,45:23.000N,10:02.833E,68M,T,SCARPIZZOLO UL,
164,46:39.700N,10:34.516E,907M,T,SCHLUDERNS,
165,45:46.100N,9:44.833E,734M,T,SELVINO,
166,45:23.600N,10:33.800E,105M,T,SOLFER,
167,45:07.766N,9:21.466E,56M,T,SPESSA PO AVIO,
168,46:12.117N,9:32.550E,2078M,T,SPLUGA,
169,45:08.367N,7:03.417E,496M,T,SUSA,
170,46:38.000N,10:58.416E,684M,T,TABLAND,
171,46:10.283N,10:04.033E,861M,T,TEGLIO,
172,46:10.000N,10:04.750E,712M,T,TEGLIO TRESENDA,
173,46:15.100N,11:02.416E,440M,T,TERMON UL,
174,46:15.233N,10:14.067E,837M,T,TIRANO,
175,46:18.117N,10:11.867E,2400M,T,TIRANO2,
176,46:15.500N,10:35.167E,1867M,T,TONALEP,
177,46:15.266N,10:34.450E,1866M,T,TONALEPASS PARKP,
178,45:38.167N,10:36.833E,62M,T,TOSCOLAN,
179,45:34.016N,11:23.666E,123M,T,TRISSINO,
180,45:09.333N,8:39.650E,99M,T,V LOMEMELLINA,
181,45:16.133N,9:15.416E,81M,T,VAIRAN UL,
182,45:19.900N,11:13.800E,18M,T,VALMARANA UL,
183,45:41.250N,8:38.033E,282M,T,VARALLO POMBIA,
184,45:44.550N,8:53.283E,332M,T,VARESE VENEGONO,
185,46:12.067N,8:14.300E,793M,T,VARZOFS,
186,45:18.666N,8:25.050E,127M,T,VERCELLI,
187,45:28.383N,10:55.616E,81M,T,VERONA BOSCOMANT,
188,45:23.783N,10:53.283E,67M,T,VERONA VILLAFRAN,
189,45:09.833N,8:07.400E,147M,T,VERRUA SAVOIA,
190,46:14.200N,10:24.166E,1013M,T,VEZZA D OGLIO UL,
191,45:13.133N,9:28.166E,69M,T,VIGAROLO LODI,
192,45:22.666N,9:31.566E,76M,T,VOLO DOVERA UL,
193,45:21.416N,10:39.533E,119M,T,ZAGAVIA UL,
194,45:11.183N,9:02.750E,62M,T,ZERBOLO UL,
195,45:21.100N,9:03.100E,104M,T,ZIBIDO,
