1,50:09.240N,122:56.064W,636M,AT,Whistler, Dir: 50/230 Dim: 1000/50
2,50:41.286N,121:55.786W,205M,AT,Lillooet, Dir: 0/180 Dim: 950/95
3,50:16.428N,121:36.810W,250M,AT,Lytton, Dir: 111/291 Dim: 880/90
4,51:39.000N,124:08.580W,1260M,AT,Chilko, Dir: 0/180 Dim: 1000/50
5,52:06.450N,124:08.520W,900M,AT,Puntzi, Dir: 45/225 Dim: 1000/50
6,51:47.100N,123:30.600W,1025M,AT,Scum, Dir: 30/210 Dim: 1000/50
7,50:15.300N,124:22.680W,55M,AT,Powel Lake, Dir: 130/310 Dim: 1000/50
8,51:59.400N,124:53.100W,1060M,AT,Chilanko, Dir: 0/180 Dim: 1000/50
9,50:23.160N,125:08.730W,0M,AT,Big Bay, Dir: 180/360 Dim: 1000/30
10,50:03.150N,125:30.090W,250M,AT,Campbell River, Dir: 0/180 Dim: 1000/50
11,52:06.795N,122:03.059W,564M,AT,Williams, Dir: 90/270 Dim: 1000/50
12,51:55.176N,122:08.580W,1069M,AT,Springhouse, Dir: 41/221 Dim: 1000/50
13,50:19.026N,122:45.450W,210M,AT,Pemberton, Dir: 90/270 Dim: 1200/60
14,51:38.712N,121:56.160W,982M,AT,Echo Valley, Dir: 86/266 Dim: 1000/75
15,51:43.560N,122:56.400W,0M,AT,Big Creek, Dir: 45/225 Dim: 1000/50
