1,41:54.318N,2:45.876E,20M,AT,Lege, Dir: 16/196 Dim: 2600/70
2,42:15.528N,3:06.774E,0M,AT,Ampuriabrava, Dir: 163/343 Dim: 820/40
3,42:12.570N,2:42.714E,215M,AT,Beuda, Dir: 105/285 Dim: 450/40
4,42:20.280N,1:24.450E,800M,AT,La Seu , Dir: 31/211 Dim: 1300/40
5,42:08.694N,0:56.364E,477M,AT,Vilamitjana, Dir: 30/210 Dim: 1000/40
6,41:53.280N,1:36.444E,640M,AT,Cardona, Dir: 77/257 Dim: 900/40
7,42:10.062N,1:05.550E,1009M,T,Abella,
8,42:15.700N,3:06.700E,0M,T,Ampuriabrava,
9,41:51.768N,0:51.168E,500M,T,Ant Camarasa,
10,41:53.850N,1:02.950E,306M,T,Artesa De Segre,
11,42:15.233N,1:51.783E,836M,T,Baga,
12,42:03.267N,1:45.733E,874M,T,Berga Land,
13,42:06.267N,1:50.717E,783M,T,Berga Sp,
14,42:06.133N,1:51.450E,694M,T,Berga Ul,
15,42:13.900N,1:08.317E,1991M,T,Boumort,
16,42:14.262N,1:14.838E,773M,T,Cabo,
17,41:54.500N,0:53.233E,493M,T,Camarasa Pr,
18,41:53.317N,1:36.700E,640M,T,Cardona Aero,
19,41:54.883N,1:40.950E,460M,T,Cardona Twn,
20,42:07.233N,1:47.250E,1717M,T,Cim D Estela,
21,42:03.300N,1:05.400E,1125M,T,Comiolscruce,
22,42:06.100N,1:15.833E,994M,T,Coscollet,
23,42:17.317N,1:38.250E,2317M,T,Cristal,
24,42:01.248N,2:32.202E,1073M,T,El far,
25,42:00.390N,0:51.072E,439M,T,Estacio Ager,
26,42:01.767N,2:54.483E,57M,T,FoiXA Ul,
27,41:57.133N,2:19.533E,527M,T,Folgueroles Ul,
28,42:11.333N,1:44.067E,2210M,T,Gall Pelada,
29,41:54.067N,2:45.633E,135M,T,Girona Costa Bra,
30,42:14.850N,0:58.383E,514M,T,La Pobla De Segu,
31,42:20.383N,1:24.617E,780M,T,La Seu De Urgel,
32,41:51.383N,2:56.583E,196M,T,Llagostera,
33,42:06.050N,1:34.933E,788M,T,Llosa Cavall,
34,42:01.017N,2:16.017E,519M,T,Manlleu Gurb,
35,42:04.300N,1:44.300E,1141M,T,Marias,
36,42:08.796N,2:46.122E,225M,T,Melinta,
37,42:01.600N,1:41.900E,824M,T,Montmajor L,
38,42:04.850N,1:50.683E,636M,T,Noet Land,
39,42:02.167N,1:17.317E,432M,T,Oliana Land,
40,42:13.700N,2:36.967E,245M,T,Olot Land,
41,42:10.000N,2:08.100E,918M,T,Olot2 Ul,
42,42:13.100N,2:53.200E,129M,T,Ordis Campo Vuel,
43,42:14.150N,1:42.267E,2383M,T,Pedraforca,
44,42:02.622N,2:06.348E,746M,T,Perafita,
45,42:18.067N,1:22.933E,798M,T,Pla De St Tirs X,
46,42:09.150N,1:32.167E,2088M,T,Port Comte,
47,42:01.074N,2:01.506E,751M,T,prats de llucane,
48,42:05.683N,1:17.833E,527M,T,Presa De Oliana,
49,41:58.000N,1:36.183E,522M,T,Presa De San Pon,
50,41:56.483N,1:11.717E,402M,T,Presaderialp,
51,42:08.346N,2:28.728E,844M,T,Puig Rodo,
52,42:16.116N,2:35.724E,317M,T,Sadernes,
53,42:12.683N,0:57.333E,501M,T,Salas De Pallar,
54,42:07.500N,1:35.000E,1068M,T,San Llorens De M,
55,42:06.267N,2:13.450E,666M,T,San Quirze De Be,
56,41:51.600N,1:19.200E,424M,T,Sanahuja,
57,42:19.100N,0:49.417E,1533M,T,Sant Gervas,
58,42:19.550N,0:56.350E,760M,T,Senterada,
59,41:56.617N,1:29.250E,818M,T,Solsona Land,
60,41:59.717N,1:31.250E,674M,T,Solsona Twn,
61,41:54.000N,2:57.000E,283M,T,St Pelaia,
62,41:53.867N,1:32.583E,798M,T,Su Land,
63,42:12.990N,1:21.804E,1265M,T,Tolmen Organya,
64,42:10.100N,0:53.817E,478M,T,Tremp Town,
65,42:00.000N,3:02.100E,32M,T,Ullasret,
66,41:54.833N,2:13.283E,517M,T,Vic222,
67,42:08.667N,3:03.133E,9M,T,Viladamat Ul,
68,42:08.400N,0:56.300E,477M,T,Za Tremp Selecci,
