1,48:54.280N,114:22.922W,1150M,AT,Wurtz, Dir: 7/187 Dim: 1000/60
2,48:50.872N,113:25.768W,1375M,AT,Babb, Dir: 150/330 Dim: 1200/60
3,47:57.687N,113:33.593W,1120M,AT,Spotted Bear USFS, Dir: 150/330 Dim: 1000/60
4,48:18.684N,114:15.302W,904M,AT,Glacier Park, Dir: 45/225 Dim: 1200/60
5,48:04.445N,114:40.652W,1194M,AT,Hanson, Dir: 45/225 Dim: 1500/60
6,47:36.846N,114:36.728W,842M,AT,Hot Springs, Dir: 80/260 Dim: 1400/60
7,47:35.490N,114:03.096W,1014M,AT,Olson, Dir: 177/357 Dim: 700/60
8,47:32.379N,113:43.293W,1120M,AT,Condon, Dir: 135/315 Dim: 700/60
9,47:10.845N,113:26.714W,1284M,AT,Seeley Lake, Dir: 0/180 Dim: 900/60
10,48:10.650N,114:18.996W,894M,AT,Kalispell City, Dir: 153/333 Dim: 1500/60
11,48:28.614N,114:23.955W,938M,T,Eagle Pt,
12,48:31.718N,113:59.598W,965M,T,McDonald Lake,
13,48:45.260N,114:33.711W,1687M,T,Red Meadow,
14,48:51.103N,113:47.214W,2782M,T,Ipasha Peak,
15,48:30.947N,113:36.576W,2765M,T,Mt Stimson,
16,48:53.530N,114:04.664W,2882M,T,Mt Carter,
17,48:15.558N,113:34.747W,1164M,T,Snowslide Gulch,
18,48:16.568N,114:46.878W,1373M,T,Squaw Meadows,
19,47:49.953N,114:44.050W,1083M,T,Mill Pocket,
20,47:52.402N,114:01.853W,880M,T,Yellow Bay,
21,47:19.998N,114:39.059W,760M,T,Flathead Bridge,
22,47:21.587N,113:53.914W,2778M,T,Glacier Peaks,
23,47:39.790N,113:20.689W,1277M,T,Little Salmon,
