1,19:43.200N,155:02.088W,13M,AT,Hilo Int, Dir: -90/90 Dim: 1300/60
2,0:00.000N,0:00.000E,0M,AT,New, Dir: 0/180 Dim: 0/0
3,19:42.894N,155:03.450W,13M,AT,Hilo Hto, Dir: 40/220 Dim: 1300/60
4,20:15.738N,155:51.762W,9M,AT,Upolu, Dir: -99/81 Dim: 1000/40
5,20:01.002N,155:39.282W,845M,AT,Waimea kohala, Dir: 70/250 Dim: 1000/40
6,19:46.998N,155:50.520W,760M,AT,Puu Waa Ranch, Dir: -140/40 Dim: 800/30
7,19:44.214N,156:02.514W,23M,AT,Kona Int, Dir: -175/5 Dim: 1200/50
8,19:29.804N,155:54.746W,479M,T,Captain Cook,
9,19:42.382N,155:05.214W,52M,T,Hilo,
10,18:54.678N,155:40.374W,2M,T,Ka Lae,
11,19:38.262N,156:00.186W,6M,T,Kanakahonu,
12,19:50.344N,155:06.761W,197M,T,KAPA,
13,20:13.958N,155:48.371W,134M,T,Kapaau,
14,20:05.466N,155:43.536W,1517M,T,Kohala Mt,
15,19:29.574N,154:49.092W,1M,T,Kapoho Tidepools,
16,19:51.312N,155:55.128W,2M,T,Kiholo Bay,
17,19:25.032N,155:17.025W,1218M,T,Kilauea,
18,19:00.325N,155:40.642W,369M,T,Kipa,
19,20:08.016N,155:45.001W,1040M,T,Kohala - PHKM,
20,20:14.610N,155:46.386W,2M,T,Kohala Point,
21,19:49.307N,155:27.952W,3650M,T,Mauna Kea,
22,19:49.514N,155:28.310W,4058M,T,Mauna Kea Observ,
23,19:29.034N,155:36.233W,4056M,T,Mauna Loa,
24,19:55.915N,155:51.863W,15M,T,Puako,
25,19:25.014N,155:54.600W,5M,T,Pu'uhonua,
26,19:23.187N,155:06.334W,693M,T,Puu Oo,
27,19:05.882N,155:34.321W,486M,T,South Shore-PHWA,
