1,36:33.051S,146:00.876E,174M,AT,Benalla, Dir: 94/274 Dim: 1100/50
2,36:43.794S,147:10.074E,340M,AT,Mt.Beauty, Dir: 150/330 Dim: 1000/40
3,35:59.730S,146:21.192E,141M,AT,Corowa, Dir: 54/234 Dim: 1600/50
4,36:44.640S,145:30.966E,172M,AT,Euroa, Dir: 22/202 Dim: 1150/50
5,35:39.516S,145:33.552E,111M,AT,Finley, Dir: 70/250 Dim: 1500/50
6,35:40.698S,147:19.410E,263M,AT,Holbrook, Dir: 52/232 Dim: 900/50
7,36:25.584S,145:23.688E,115M,AT,Shapparton, Dir: 6/186 Dim: 1150/50
8,35:48.420S,145:36.480E,113M,AT,Tocumwal, Dir: 5/185 Dim: 1400/50
9,35:09.630S,147:28.170E,218M,AT,Wagga Wagga, Dir: 61/241 Dim: 1500/50
10,36:24.834S,146:18.600E,153M,AT,Wangaratta, Dir: 6/186 Dim: 1500/50
11,35:22.206S,145:43.608E,110M,AT,Jerilderie, Dir: 21/201 Dim: 1200/50
12,36:01.878S,146:01.806E,130M,AT,Yarrawonga, Dir: 24/204 Dim: 1000/50
13,36:43.032S,146:53.490E,293M,AT,Porepunkah, Dir: 12/192 Dim: 850/50
14,36:00.100S,146:44.000E,156M,T,Avondale,
15,36:35.100S,145:51.833E,188M,T,Baddaginnie,
16,35:51.030S,146:30.830E,155M,T,Balldale,
17,36:21.420S,146:41.300E,549M,T,Beechworth,
18,35:07.170S,147:03.330E,181M,T,Belfrayden,
19,35:39.633S,145:48.533E,123M,T,Berrigan,
20,35:35.820S,145:20.170E,105M,T,Blighty,
21,35:06.667S,146:36.683E,151M,T,Boree Creek,
22,36:10.500S,146:40.670E,266M,T,Brocklesby,
23,35:10.000S,146:00.530E,118M,T,Bundure Siding,
24,35:47.950S,146:46.883E,215M,T,BrrmbttckSdn,
25,35:18.100S,145:10.000E,102M,T,Cariargo,
26,36:48.050S,146:25.900E,271M,T,Cheshunt,
27,36:08.970S,146:36.420E,209M,T,Chiltern,
28,35:55.000S,145:39.900E,123M,T,Cobram,
29,35:19.200S,145:10.500E,96M,T,Conargo,
30,35:08.500S,146:07.100E,118M,T,Coonong,
31,35:45.000S,146:20.500E,137M,T,Coreen,
32,36:11.770S,147:51.850E,316M,T,Corryong,
33,35:40.500S,147:02.000E,217M,T,Culcairn,
34,35:15.830S,146:22.830E,151M,T,Cullival,
35,36:33.680S,147:31.270E,480M,T,Dartmouth,
36,36:27.670S,146:59.500E,319M,T,Dederang,
37,36:19.800S,145:40.533E,156M,T,Dookie,
38,36:38.420S,146:51.830E,255M,T,Eurobin,
39,35:15.100S,146:55.500E,179M,T,French Park,
40,36:28.000S,146:12.100E,205M,T,Glenrowan,
41,36:26.500S,145:51.750E,153M,T,Goorambat,
42,36:52.830S,147:03.950E,490M,T,Harrietville,
43,35:31.083S,147:02.233E,239M,T,Henty,
44,35:43.500S,147:18.670E,263M,T,Holbrook,
45,35:21.617S,145:43.367E,111M,T,JerildrRlShd,
46,36:05.467S,145:41.383E,119M,T,Katamatite,
47,35:13.750S,146:42.100E,154M,T,Lockhart,
48,35:15.420S,146:51.080E,202M,T,Milbrulong,
49,36:43.420S,146:49.050E,1370M,T,Mount Buffalo,
50,36:34.750S,146:22.100E,176M,T,Moyhu,
51,36:36.817S,145:14.450E,123M,T,Murchison E,
52,36:51.317S,146:00.450E,266M,T,Nillahcootie,
53,35:33.830S,146:09.500E,141M,T,Oaklands,
54,35:49.330S,146:29.000E,141M,T,Oil Tree Lagoon,
55,36:10.100S,146:15.283E,142M,T,Peechelba E,
56,35:27.483S,146:47.783E,237M,T,PleasantHill,
57,35:35.367S,146:34.700E,159M,T,Rand,
58,35:48.533S,146:07.950E,130M,T,Rennie,
59,36:03.920S,146:27.670E,177M,T,Rutherglen,
60,35:39.180S,146:03.000E,125M,T,Savernake Church,
61,36:11.233S,146:28.117E,190M,T,Springhurst,
62,36:16.100S,145:53.500E,137M,T,St James,
63,35:16.367S,147:07.000E,219M,T,The Rock,
64,35:15.750S,146:59.830E,188M,T,Tootool,
65,36:09.880S,145:27.780E,109M,T,Tungamah,
66,35:19.917S,146:16.483E,122M,T,Urana Silo,
67,35:29.750S,146:41.500E,167M,T,Urangeline East,
68,35:11.080S,147:14.830E,202M,T,Uranquinty,
69,35:41.170S,146:42.100E,177M,T,Walbundrie,
70,35:46.080S,146:54.180E,221M,T,Walla Walla,
71,36:21.100S,146:19.100E,149M,T,Wangaratta,
72,36:09.000S,145:26.100E,110M,T,Wungnu,
73,36:01.133S,145:59.817E,129M,T,YarrawongaSl,
