1,57:32.544N,4:02.808W,7M,AT,Inverness, Dir: 49/229 Dim: 1887/46
2,56:27.768N,5:23.796W,15M,AT,Connel, Dir: 8/188 Dim: 1000/40
3,57:20.040N,5:40.308W,25M,AT,Plockton, Dir: 0/180 Dim: 640/40
4,56:38.832N,2:57.030W,64M,AT,Angus, Dir: 130/310 Dim: 600/20
5,57:59.334N,4:08.646W,48M,AT,Rovie Farm, Dir: 120/300 Dim: 900/60
6,58:27.613N,3:05.322W,38M,AT,wick1, Dir: 128/308 Dim: 1700/50
7,57:13.302N,2:13.392W,102M,AT,Aberdeen, Dir: 165/345 Dim: 900/45
8,56:30.918N,5:54.270W,0M,AT,Glenforsa, Dir: 65/245 Dim: 700/30
9,57:04.482N,2:50.334W,143M,AT,Aboyne, Dir: 90/270 Dim: 600/30
10,56:11.226N,3:19.128W,164M,AT,Portmak, Dir: 125/305 Dim: 700/30
11,57:35.376N,3:17.892W,110M,AT,Easterton, Dir: 90/270 Dim: 800/45
12,57:06.546N,3:53.688W,265M,AT,Feshie, Dir: 40/220 Dim: 700/30
13,57:12.117N,2:11.867W,60M,T,Aberdeen,
14,57:04.517N,2:50.567W,143M,T,Aboyne Cluho Gld,
15,57:34.700N,5:04.817W,174M,T,Achnasheen A832,
16,56:09.167N,3:47.917W,26M,T,Alva A91XB908,
17,56:36.100N,3:12.700W,70M,T,Alyth A926XB954,
18,56:34.850N,2:36.917W,46M,T,Arbroath Gld,
19,57:03.883N,5:53.617W,1M,T,Ardvasar Pier Se,
20,56:12.583N,3:27.700W,128M,T,Balado Golfball,
21,56:00.483N,4:35.450W,8M,T,Balloch Pier La,
22,56:05.017N,4:32.917W,14M,T,Balmaha Pier La,
23,57:03.500N,2:33.383W,66M,T,Banchory W Water,
24,57:00.300N,3:24.367W,345M,T,Braemar Stadium,
25,58:00.700N,3:51.200W,15M,T,Brora A9 Over Ri,
26,56:19.167N,6:14.900W,0M,T,Bunessan Pier Se,
27,57:36.750N,4:40.100W,100M,T,Carve Stn,
28,57:29.417N,3:57.867W,184M,T,Clunas Res Plug,
29,56:02.100N,6:15.083W,1M,T,Colonsay,
30,56:32.717N,3:16.050W,57M,T,Coupar Angus A94,
31,56:23.433N,4:37.117W,183M,T,Crianlarich Stat,
32,56:05.500N,5:33.317W,0M,T,Crinan Lighthous,
33,57:28.667N,4:03.650W,99M,T,Culloden Viaduct,
34,56:19.167N,3:00.717W,27M,T,Cupar A91XA92,
35,57:39.433N,3:03.950W,11M,T,Dallachy Old Gld,
36,56:24.050N,4:59.017W,64M,T,Dalmally Station,
37,56:55.650N,4:14.917W,358M,T,Dalwhinnie S End,
38,57:30.650N,2:11.600W,116M,T,Deer A948XB9170,
39,56:09.733N,3:40.600W,42M,T,Dollar A91XB913,
40,57:52.333N,4:01.583W,3M,T,Dornoch,
41,56:38.550N,3:01.617W,65M,T,Drumshade Farmho,
42,56:11.167N,3:57.950W,57M,T,Dunblane Station,
43,56:27.150N,3:01.550W,7M,T,Dundee,
44,56:28.900N,3:01.150W,105M,T,Dundee A972XA923,
45,57:35.233N,3:18.500W,110M,T,Easterton Gld,
46,56:48.733N,2:36.283W,47M,T,Edzell Rws,
47,56:38.867N,4:39.183W,280M,T,Eileaniubhair La,
48,56:45.767N,4:06.317W,310M,T,Errochty Dam S E,
49,57:44.100N,3:56.083W,61M,T,Fearn,
50,57:06.167N,3:53.500W,265M,T,Feshiebridge Gld,
51,56:51.100N,2:34.500W,73M,T,Fettercairn B966,
52,56:11.000N,3:13.217W,123M,T,Fife Glenrothes,
53,56:42.317N,2:49.650W,54M,T,Finavon A94XB957,
54,56:38.750N,2:54.017W,55M,T,Forfar Loch East,
55,57:08.767N,4:40.517W,20M,T,Fort Augustus Li,
56,57:41.517N,1:59.700W,5M,T,Fraserburgh E Of,
57,56:14.017N,3:09.350W,95M,T,Freuchie A92XA91,
58,56:58.083N,4:02.083W,432M,T,Gaich Dam,
59,56:55.033N,4:59.250W,51M,T,Gairlochy Lighth,
60,56:32.900N,2:56.350W,210M,T,Gallowfauld A929,
61,56:49.433N,4:13.350W,415M,T,Garry Dam,
62,57:14.900N,3:45.150W,223M,T,Garten Station,
63,56:16.967N,3:45.067W,164M,T,Gleneagles Hotel,
64,56:31.050N,5:54.867W,0M,T,Glenforsa,
65,56:30.983N,5:54.850W,0M,T,Glenforsa Hotel,
66,57:33.733N,3:20.783W,199M,T,Glenlatterbach D,
67,56:00.083N,4:44.250W,1M,T,Helensburgh Pier,
68,58:06.983N,3:39.033W,15M,T,Helmsdale A9 A89,
69,57:11.817N,3:01.050W,261M,T,Heugh Head A97XA,
70,57:26.483N,2:47.700W,125M,T,Huntly A96XA97 R,
71,57:18.617N,2:38.700W,162M,T,Insch,
72,57:06.100N,3:55.000W,294M,T,Insh Watersport,
73,56:13.917N,5:04.433W,8M,T,Inverary A83XA81,
74,57:32.400N,4:03.000W,7M,T,Inverness,
75,57:28.917N,4:11.550W,16M,T,Inverness A9XA82,
76,57:15.167N,5:49.583W,8M,T,Isle Of Skye,
77,57:33.083N,2:57.267W,108M,T,Keith Rs,
78,56:35.133N,4:00.117W,111M,T,Kenmore A827XRiv,
79,55:59.067N,4:49.233W,25M,T,Kilcreggan Pier,
80,56:27.767N,4:19.183W,126M,T,Killin A827XRive,
81,58:15.533N,3:56.467W,112M,T,Kinbrace Rail B8,
82,57:36.267N,5:18.217W,32M,T,Kinlochewe A896,
83,57:38.967N,3:33.633W,6M,T,Kinloss,
84,57:38.950N,3:33.717W,6M,T,Kinloss R Ws 26,
85,56:39.000N,2:38.083W,47M,T,Kinnell,
86,56:11.500N,3:19.083W,108M,T,Kinross Gld,
87,56:07.600N,4:10.250W,69M,T,Kippen B822XB803,
88,56:43.200N,3:30.000W,220M,T,Kirkmichael A924,
89,56:40.433N,3:00.400W,135M,T,Kirriemuir A926X,
90,57:16.350N,5:44.700W,25M,T,Kyleakin A87 Rou,
91,56:53.383N,4:40.300W,246M,T,Laggan Dam,
92,58:01.450N,4:24.100W,86M,T,Lairg A836 A839,
93,58:17.017N,3:22.033W,85M,T,Latheron A9 A99,
94,58:03.100N,4:58.350W,185M,T,Ledmore A835 A83,
95,56:22.383N,2:52.100W,8M,T,Leuchars,
96,56:20.317N,3:11.567W,71M,T,Lindores A913XB9,
97,56:27.333N,5:36.467W,0M,T,Lismore Lighthou,
98,56:45.867N,4:06.300W,312M,T,Loch Errochty Ea,
99,57:41.633N,5:39.417W,21M,T,Loch Gairloch Se,
100,57:05.050N,2:55.500W,162M,T,Loch Kinord Cent,
101,56:12.217N,4:42.650W,29M,T,Loch Lomond Tarb,
102,57:10.067N,3:42.133W,329M,T,Loch Morlich Clu,
103,56:55.650N,3:11.450W,428M,T,Loch Muick Glas,
104,57:00.000N,3:52.467W,768M,T,Loch Nam Bo On H,
105,57:04.283N,5:11.017W,183M,T,Loch Quoich East,
106,56:13.717N,4:15.700W,83M,T,Loch Venachar E,
107,56:52.683N,5:39.983W,38M,T,Lochailort A830,
108,56:23.133N,4:17.233W,111M,T,Lochearnhead A85,
109,56:02.250N,5:26.483W,14M,T,Lochgilphead A83,
110,57:42.317N,3:20.350W,13M,T,Lossiemouth,
111,56:26.850N,3:28.350W,34M,T,Luncarty A9 B909,
112,57:20.317N,4:30.817W,65M,T,Milton A833XA831,
113,56:41.300N,6:05.633W,3M,T,Mingary Pier Sea,
114,57:31.517N,2:00.083W,53M,T,Mintlaw A950XA92,
115,56:42.783N,2:28.317W,2M,T,Montrose Station,
116,57:15.800N,2:52.167W,199M,T,Mossat A944XA97,
117,57:31.017N,4:27.600W,36M,T,Muir Of Ord Stat,
118,56:27.833N,5:23.983W,0M,T,Oban North C Gld,
119,56:26.350N,3:22.333W,119M,T,Perth Scone,
120,56:41.967N,3:44.433W,95M,T,Pitlochry Loch F,
121,57:35.283N,2:11.283W,147M,T,Pitsligo A950XB9,
122,57:20.134N,5:40.333W,25M,T,Plockton,
123,56:11.550N,3:19.950W,108M,T,Portmoak Caravan,
124,56:11.333N,3:19.317W,108M,T,Portmoak Clubhou,
125,56:41.183N,4:34.517W,297M,T,Rannoch Stn In W,
126,56:04.233N,4:37.983W,13M,T,Rhossdhu House N,
127,57:19.917N,2:50.033W,184M,T,Rhynie A97XA941,
128,56:00.333N,4:47.633W,5M,T,Rosneath Pier La,
129,57:31.883N,3:12.500W,79M,T,Rothes A941XB901,
130,57:04.550N,4:02.333W,221M,T,Ruthven Barracks,
131,57:00.683N,4:20.200W,263M,T,Spey Dam,
132,56:04.650N,3:55.217W,67M,T,Stirling South M,
133,56:08.317N,3:55.067W,62M,T,Stirling Wallace,
134,58:12.933N,6:19.867W,2M,T,Stornoway,
135,57:01.233N,2:32.200W,86M,T,Strachan B916XB9,
136,56:19.100N,3:45.083W,57M,T,Strathallan,
137,56:53.017N,2:12.917W,8M,T,Todhead Lighthou,
138,57:15.183N,3:22.367W,330M,T,Tomintoul A939XB,
139,56:52.500N,5:03.100W,27M,T,Trevors Field In,
140,56:33.283N,4:44.950W,166M,T,Tulla Loch A82XE,
141,57:31.100N,2:27.683W,112M,T,Turriff A947XB90,
142,56:14.733N,3:17.817W,491M,T,West Lomond Hill,
143,58:27.533N,3:05.583W,38M,T,Wick,
